address,price,dong_may,cpu,ram,o_cung,man_hinh,card_man_hinh,kich_thuoc,khoi_luong,pin,he_dieu_hanh,do_phan_giai
https://phongvu.vn/laptop-asus-zenbook-14-oled-ux3402va-km203w-i5-1340p-bac--s230302708,27990000,ASUS,Intel Core i5-1340P,16GB Onbard,512GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,31.36 x 22.06 x 1.69cm,1.4,4 cell,Windows 11 Home,2880 x 1800
https://phongvu.vn/asus-zenbook-ux3402va-km085w-i5--s230304299,27990000,ASUS,Intel Core i5-1340P,16GB Onboard,512GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,31.36 x 22.06 x 1.69 cm,1.4,4 cell,Windows 11 Home,2880 x 1800
https://phongvu.vn/acer-nitro-an515-58-769j--s220919561,31790000,ACER,Intel Core i7-12700H,8GB Onboard,512GB SSD M.2 NVMe,15.6 inch,RTX 3050  4GB  GDDR6 / Intel Iris Xe Graphics,36.04 x 27.109 x 2.59 cm,2.5,4 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-yoga-slim-7-carbon-14acn6-82l0005bvn-amd-ryzen-7-5800u-xam--s220202590,37990000,Lenovo,AMD Ryzen 7 5800U,16GB,1TB SSD M.2 NVMe,14 inch,GeForce MX450  2GB  GDDR6 / AMD Radeon Graphics,31.3 x 21.45 x 1.49 Cm,1.1,61 Wh  Pin liền,Windows 11 Home,2880 x 1800
https://phongvu.vn/acer-nitro-16-phoenix-an16-41-ryzen-5-rtx-4050--s230402670,29990000,ACER,AMD Ryzen 5 7535HS,1 x 8GB,512GB SSD M.2 NVMe,16 inch,RTX 4050  6GB  GDDR6 / AMD Radeon 660M,360.1  x 279.9  x 25.9 - 27.9 mm,2.6,4 cell,Windows 11 Home SL,1920 x 1200
https://phongvu.vn/may-tinh-xach-tay-laptop-asus-zenbook-14-flip-oled-up3404va-kn038w-i5-1340p-xanh--s230400579,29990000,ASUS,Intel Core i5-1340P,16GB Onboard,512GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,31.15 x 22.34 x 1.59 cm,1.5,4 cell,Windows 11 Home,2880 x 1800
https://phongvu.vn/laptop-msi-crosshair-15-b12uez-460vn--s220303102,34990000,MSI,Intel Core i7-12700H,2 x 8GB,1TB SSD M.2 NVMe,15.6 inch,RTX 3060  6GB  GDDR6 / Intel Iris Xe Graphics,35.9  x 25.9 x 2.69 cm,2.3,3 cell,Windows 11 Home,2560 x 1440
https://phongvu.vn/acer-nitro-an515-58-773y--s220102149,33790000,ACER,Intel Core i7-12700H,1 x 8GB,512GB SSD M.2 NVMe,15.6 inch,RTX 3050Ti  4GB  GDDR6 / Intel Iris Xe Graphics,36.04 x 27.109 x 2.59 cm,2.5,4 cell,Windows 11 Home,1920 x 1080
https://phongvu.vn/laptop-asus-zenbook-14-oled-ux3402va-km068w-i7-1360p-xanh--s230401847,31990000,ASUS,Intel Core i7-1360P,16GB Onboard,512GB SSD M.2 NVMe,14 inch,Onboard  Intel Iris Xe Graphics,31.36 x 22.06 x 1.69 cm,1.4,4 cell,Windows 11 Home,2880 x 1800
https://phongvu.vn/may-tinh-xach-tay-laptop-asus-tuf-gaming-f15-fx507zu4-lp054w-i7-12700h-xam--s230904118,34990000,ASUS,Intel Core i7-12700H,2 x 8GB,512GB SSD M.2 NVMe,15.6 inch,RTX 4050  6GB  GDDR6 / Intel Iris Xe Graphics,35.4 x 25.1 x 2.24 ~ 2.49 cm,2.2,4 cell,Windows 11 Home,1920 x 1080
